queryNumber,OptimalBST,Array,HashTable
722000,175.695200,187.231100,217.761200
723000,177.623200,232.134600,217.147500
724000,177.181400,203.759600,205.853900
725000,170.363200,208.873300,220.008300
726000,240.834900,293.140400,287.949000
727000,223.721700,226.435500,219.826400
728000,182.245000,238.633000,209.422400
729000,171.500500,206.065900,207.052200
730000,172.884100,180.462100,235.014400
731000,159.681400,170.993500,233.505400
732000,215.555600,317.119000,292.925400
733000,258.322000,196.059000,265.022000
734000,169.200200,195.879300,267.625000
735000,190.899500,249.528600,250.842800
736000,212.453300,238.087600,283.186300
737000,191.781200,237.575000,283.119000
738000,215.383100,262.729000,277.345200
739000,186.165100,242.000200,222.324200
740000,183.301300,251.680500,224.813300
741000,187.582000,229.173100,223.234700
742000,183.548900,207.607900,212.142600
743000,189.999700,205.714200,240.793900
744000,215.868900,263.173100,241.690100
745000,212.560800,223.140900,215.134500
746000,251.124800,305.671300,251.447500
747000,219.005000,260.762000,313.150300
748000,267.703000,338.384000,300.744600
749000,267.902400,276.039900,268.941000
750000,198.323200,192.676100,222.745900
751000,165.646600,201.035500,221.101100
752000,187.060100,238.676500,220.666600
753000,190.803100,237.157100,252.916000
754000,200.888300,259.822600,282.169500
755000,271.644900,305.535900,306.082000
756000,300.440700,293.144000,297.026200
757000,221.212400,230.889800,275.899700
758000,283.004400,278.918900,302.787800
759000,191.246100,208.273300,264.789900
760000,266.097700,290.237600,279.176800
761000,243.209200,275.149700,285.666800
762000,222.329200,212.680400,258.710900
763000,194.393900,211.919100,238.349000
764000,201.404200,255.615800,251.041700
765000,241.818800,322.260500,306.602700
766000,264.242100,242.174500,242.168400
767000,205.170300,243.263900,234.633500
768000,194.305500,240.893600,232.365700
769000,189.318200,207.772800,221.842600
770000,179.966900,210.532500,242.139100
771000,236.147100,272.390000,269.743400
772000,227.574300,238.125300,247.841300
